cell	node	doublet
Cell_0	4	no
Cell_1	4	no
Cell_2	6	no
Cell_3	0	no
Cell_4	6	no
Cell_5	0	no
Cell_6	4	no
Cell_7	0	no
Cell_8	6	no
Cell_9	4	no
Cell_10	0	no
Cell_11	0	no
Cell_12	0	no
Cell_13	4	no
Cell_14	0	no
Cell_15	6	no
Cell_16	1	no
Cell_17	4	no
Cell_18	6	no
Cell_19	4	no
Cell_20	6	no
Cell_21	4	no
Cell_22	0	no
Cell_23	6	no
Cell_24	6	no
Cell_25	4	no
Cell_26	6	no
Cell_27	4	no
Cell_28	1	no
Cell_29	4	no
Cell_30	6	no
Cell_31	6	no
Cell_32	4	no
Cell_33	6	no
Cell_34	4	no
Cell_35	5	no
Cell_36	4	no
Cell_37	6	no
Cell_38	4	no
Cell_39	4	no
Cell_40	6	no
Cell_41	6	no
Cell_42	6	no
Cell_43	6	no
Cell_44	6	no
Cell_45	6	no
Cell_46	1	no
Cell_47	6	no
Cell_48	4	no
Cell_49	6	no
Cell_50	6	no
Cell_51	4	no
Cell_52	6	no
Cell_53	4	no
Cell_54	1	no
Cell_55	4	no
Cell_56	6	no
Cell_57	4	no
Cell_58	4	no
Cell_59	6	no
Cell_60	6	no
Cell_61	6	no
Cell_62	6	no
Cell_63	6	no
Cell_64	4	no
Cell_65	4	no
Cell_66	4	no
Cell_67	6	no
Cell_68	6	no
Cell_69	4	no
Cell_70	4	no
Cell_71	6	no
Cell_72	6	no
Cell_73	6	no
Cell_74	4	no
Cell_75	0	no
Cell_76	6	no
Cell_77	4	no
Cell_78	6	no
Cell_79	6	no
Cell_80	4	no
Cell_81	4	no
Cell_82	6	no
Cell_83	4	no
Cell_84	4	no
Cell_85	1	no
Cell_86	6	no
Cell_87	6	no
Cell_88	1	no
Cell_89	4	no
Cell_90	6	no
Cell_91	4	no
Cell_92	6	no
Cell_93	4	no
Cell_94	4	no
Cell_95	4	no
Cell_96	0	no
Cell_97	0	no
Cell_98	6	no
Cell_99	4	no
Cell_100	4	no
Cell_101	6	no
Cell_102	6	no
Cell_103	4	no
Cell_104	6	no
Cell_105	6	no
Cell_106	4	no
Cell_107	4	no
Cell_108	0	no
Cell_109	6	no
Cell_110	4	no
Cell_111	4	no
Cell_112	6	no
Cell_113	4	no
Cell_114	6	no
Cell_115	6	no
Cell_116	6	no
Cell_117	0	no
Cell_118	6	no
Cell_119	6	no
Cell_120	6	no
Cell_121	6	no
Cell_122	4	no
Cell_123	4	no
Cell_124	6	no
Cell_125	4	no
Cell_126	4	no
Cell_127	6	no
Cell_128	4	no
Cell_129	4	no
Cell_130	6	no
Cell_131	4	no
Cell_132	0	no
Cell_133	6	no
Cell_134	4	no
Cell_135	0	no
Cell_136	6	no
Cell_137	6	no
Cell_138	4	no
Cell_139	6	no
Cell_140	0	no
Cell_141	4	no
Cell_142	4	no
Cell_143	4	no
Cell_144	6	no
Cell_145	4	no
Cell_146	4	no
Cell_147	4	no
Cell_148	0	no
Cell_149	6	no
Cell_150	6	no
Cell_151	6	no
Cell_152	6	no
Cell_153	4	no
Cell_154	4	no
Cell_155	4	no
Cell_156	6	no
Cell_157	4	no
Cell_158	0	no
Cell_159	6	no
Cell_160	1	no
Cell_161	4	no
Cell_162	6	no
Cell_163	4	no
Cell_164	6	no
Cell_165	6	no
Cell_166	1	no
Cell_167	4	no
Cell_168	6	no
Cell_169	4	no
Cell_170	4	no
Cell_171	4	no
Cell_172	4	no
Cell_173	6	no
Cell_174	6	no
Cell_175	4	no
Cell_176	4	no
Cell_177	6	no
Cell_178	6	no
Cell_179	6	no
Cell_180	4	no
Cell_181	4	no
Cell_182	4	no
Cell_183	6	no
Cell_184	4	no
Cell_185	4	no
Cell_186	6	no
Cell_187	6	no
Cell_188	6	no
Cell_189	4	no
Cell_190	4	no
Cell_191	5	no
Cell_192	4	no
Cell_193	4	no
Cell_194	4	no
Cell_195	0	no
Cell_196	6	no
Cell_197	6	no
Cell_198	1	yes
Cell_199	1	no
Cell_200	4	no
Cell_201	0	no
Cell_202	4	no
Cell_203	0	no
Cell_204	4	no
Cell_205	6	no
Cell_206	6	no
Cell_207	6	no
Cell_208	5	no
Cell_209	1	no
Cell_210	4	no
Cell_211	4	no
Cell_212	6	no
