cell	node	doublet
Cell_0	3	no
Cell_1	3	no
Cell_2	2	no
Cell_3	3	no
Cell_4	2	no
Cell_5	3	no
Cell_6	3	no
Cell_7	3	no
Cell_8	2	yes
Cell_9	3	yes
Cell_10	2	yes
Cell_11	3	no
Cell_12	2	no
Cell_13	3	yes
Cell_14	3	yes
Cell_15	2	no
Cell_16	2	yes
Cell_17	2	yes
Cell_18	2	yes
Cell_19	3	no
Cell_20	2	yes
Cell_21	3	no
Cell_22	3	yes
Cell_23	3	no
Cell_24	3	no
Cell_25	2	yes
Cell_26	2	yes
Cell_27	3	yes
Cell_28	3	yes
Cell_29	2	no
Cell_30	2	no
Cell_31	3	no
Cell_32	3	no
Cell_33	3	yes
Cell_34	3	no
Cell_35	3	no
Cell_36	3	no
Cell_37	3	no
Cell_38	3	no
Cell_39	3	no
Cell_40	3	no
Cell_41	3	no
Cell_42	2	yes
Cell_43	3	no
Cell_44	2	yes
Cell_45	3	no
Cell_46	3	yes
Cell_47	3	no
Cell_48	2	no
Cell_49	3	no
Cell_50	2	no
Cell_51	3	no
Cell_52	2	no
Cell_53	3	no
Cell_54	3	yes
Cell_55	3	no
Cell_56	3	yes
Cell_57	3	yes
Cell_58	2	no
Cell_59	3	yes
Cell_60	2	yes
Cell_61	3	no
Cell_62	3	no
Cell_63	2	no
Cell_64	3	no
Cell_65	2	no
Cell_66	2	no
Cell_67	2	yes
Cell_68	2	yes
Cell_69	3	yes
Cell_70	2	no
Cell_71	2	no
Cell_72	2	no
Cell_73	2	yes
Cell_74	3	yes
Cell_75	2	no
Cell_76	3	no
Cell_77	2	yes
Cell_78	3	yes
Cell_79	3	yes
Cell_80	3	no
Cell_81	3	no
Cell_82	2	yes
Cell_83	3	no
Cell_84	3	no
Cell_85	1	no
Cell_86	2	no
Cell_87	3	no
Cell_88	3	no
Cell_89	2	no
Cell_90	3	no
Cell_91	3	yes
Cell_92	3	no
Cell_93	3	yes
Cell_94	3	yes
Cell_95	2	no
Cell_96	2	no
Cell_97	2	no
Cell_98	3	no
Cell_99	3	no
Cell_100	3	no
Cell_101	3	no
Cell_102	3	no
Cell_103	3	no
Cell_104	3	yes
Cell_105	3	no
Cell_106	3	no
Cell_107	3	yes
Cell_108	3	no
Cell_109	2	no
Cell_110	3	no
Cell_111	3	no
Cell_112	3	no
Cell_113	3	no
Cell_114	2	yes
Cell_115	3	no
Cell_116	3	no
Cell_117	3	no
Cell_118	2	no
Cell_119	3	no
Cell_120	3	no
Cell_121	2	yes
Cell_122	3	no
Cell_123	3	no
Cell_124	2	yes
Cell_125	3	no
Cell_126	2	no
Cell_127	2	yes
Cell_128	3	no
Cell_129	3	no
Cell_130	3	yes
Cell_131	3	no
Cell_132	2	yes
Cell_133	3	yes
Cell_134	2	yes
Cell_135	3	no
Cell_136	3	no
Cell_137	3	no
Cell_138	2	yes
Cell_139	3	no
Cell_140	3	no
Cell_141	2	yes
Cell_142	3	no
Cell_143	3	no
Cell_144	2	yes
Cell_145	2	no
Cell_146	2	yes
Cell_147	3	yes
Cell_148	2	no
Cell_149	3	no
Cell_150	3	no
Cell_151	3	no
Cell_152	2	yes
Cell_153	3	yes
Cell_154	3	yes
Cell_155	3	yes
Cell_156	3	no
Cell_157	2	no
Cell_158	2	no
Cell_159	2	yes
Cell_160	3	no
Cell_161	2	yes
Cell_162	3	no
Cell_163	3	no
Cell_164	2	yes
Cell_165	3	no
Cell_166	3	yes
Cell_167	2	no
Cell_168	3	no
Cell_169	2	yes
Cell_170	3	no
Cell_171	3	no
Cell_172	3	no
Cell_173	3	no
Cell_174	3	yes
Cell_175	3	no
Cell_176	2	no
Cell_177	2	yes
Cell_178	3	yes
Cell_179	3	no
Cell_180	3	yes
Cell_181	2	yes
Cell_182	3	no
Cell_183	2	yes
Cell_184	2	yes
Cell_185	3	no
Cell_186	2	no
Cell_187	3	no
Cell_188	3	no
Cell_189	3	no
Cell_190	3	no
Cell_191	3	no
Cell_192	2	no
Cell_193	2	no
Cell_194	3	no
Cell_195	2	no
Cell_196	2	yes
Cell_197	3	yes
Cell_198	3	yes
Cell_199	3	yes
Cell_200	3	yes
Cell_201	3	no
Cell_202	2	no
Cell_203	3	no
Cell_204	2	no
Cell_205	3	no
Cell_206	2	yes
Cell_207	3	no
Cell_208	3	no
Cell_209	3	yes
Cell_210	3	no
Cell_211	3	no
Cell_212	2	no
Cell_213	3	no
Cell_214	2	yes
Cell_215	3	no
Cell_216	2	yes
Cell_217	3	no
Cell_218	2	yes
Cell_219	3	no
Cell_220	3	no
Cell_221	2	yes
Cell_222	3	no
Cell_223	3	no
Cell_224	3	no
Cell_225	3	no
Cell_226	2	no
Cell_227	3	yes
Cell_228	2	yes
Cell_229	2	no
Cell_230	2	no
Cell_231	3	yes
Cell_232	3	no
Cell_233	3	no
Cell_234	2	no
Cell_235	3	no
Cell_236	3	no
Cell_237	2	yes
Cell_238	3	no
Cell_239	2	no
Cell_240	3	no
Cell_241	3	no
Cell_242	3	no
Cell_243	2	yes
Cell_244	3	no
Cell_245	3	no
Cell_246	2	no
Cell_247	2	yes
Cell_248	3	no
Cell_249	3	no
Cell_250	3	no
Cell_251	2	yes
Cell_252	3	no
Cell_253	2	no
Cell_254	3	no
Cell_255	3	no
Cell_256	3	no
Cell_257	3	no
Cell_258	3	no
Cell_259	3	no
Cell_260	2	yes
Cell_261	2	no
Cell_262	3	no
Cell_263	3	no
Cell_264	3	no
Cell_265	3	no
Cell_266	3	no
Cell_267	3	yes
Cell_268	3	no
Cell_269	2	no
Cell_270	3	yes
Cell_271	3	no
Cell_272	2	no
Cell_273	3	no
Cell_274	1	no
Cell_275	2	no
Cell_276	2	no
Cell_277	2	yes
Cell_278	2	no
Cell_279	3	no
Cell_280	2	yes
Cell_281	3	no
Cell_282	3	no
Cell_283	3	no
Cell_284	3	yes
Cell_285	3	no
Cell_286	2	no
Cell_287	3	no
Cell_288	3	no
Cell_289	2	yes
Cell_290	3	no
Cell_291	3	no
Cell_292	3	no
Cell_293	3	yes
Cell_294	2	yes
Cell_295	3	no
Cell_296	3	no
Cell_297	3	yes
Cell_298	3	no
Cell_299	3	no
Cell_300	2	no
Cell_301	1	no
Cell_302	3	no
Cell_303	3	no
Cell_304	3	no
Cell_305	2	yes
Cell_306	2	no
Cell_307	3	no
Cell_308	3	no
Cell_309	2	yes
Cell_310	3	no
Cell_311	3	no
Cell_312	3	no
Cell_313	1	no
Cell_314	2	yes
Cell_315	3	no
Cell_316	3	yes
Cell_317	3	no
Cell_318	3	no
Cell_319	3	no
Cell_320	3	no
Cell_321	3	no
Cell_322	3	no
Cell_323	2	yes
Cell_324	3	no
Cell_325	2	no
Cell_326	3	no
Cell_327	1	no
Cell_328	3	no
Cell_329	3	no
Cell_330	3	no
Cell_331	3	no
Cell_332	2	no
Cell_333	3	no
Cell_334	2	no
Cell_335	3	no
Cell_336	2	yes
Cell_337	2	yes
Cell_338	3	no
Cell_339	3	no
Cell_340	2	yes
Cell_341	3	no
Cell_342	2	no
Cell_343	1	no
Cell_344	2	no
Cell_345	3	yes
Cell_346	3	yes
Cell_347	3	no
Cell_348	2	no
Cell_349	3	no
Cell_350	3	no
Cell_351	3	no
Cell_352	3	no
Cell_353	3	yes
Cell_354	3	no
Cell_355	3	no
Cell_356	2	yes
Cell_357	2	yes
Cell_358	3	no
Cell_359	3	no
Cell_360	3	no
Cell_361	3	yes
Cell_362	3	yes
Cell_363	3	yes
Cell_364	3	no
Cell_365	2	no
Cell_366	3	yes
Cell_367	2	yes
Cell_368	3	yes
Cell_369	2	yes
Cell_370	3	no
Cell_371	3	no
Cell_372	3	yes
Cell_373	3	yes
Cell_374	3	no
Cell_375	3	no
Cell_376	2	no
Cell_377	2	yes
Cell_378	3	yes
Cell_379	3	no
Cell_380	3	yes
Cell_381	3	no
Cell_382	3	no
Cell_383	3	no
Cell_384	2	yes
Cell_385	3	no
Cell_386	3	no
Cell_387	2	yes
Cell_388	3	no
Cell_389	3	yes
Cell_390	2	no
Cell_391	3	no
Cell_392	3	yes
Cell_393	1	no
Cell_394	3	no
Cell_395	3	no
Cell_396	2	yes
Cell_397	3	no
Cell_398	3	yes
Cell_399	3	no
Cell_400	2	no
Cell_401	3	no
Cell_402	3	no
Cell_403	2	yes
Cell_404	3	no
Cell_405	3	no
Cell_406	2	yes
Cell_407	3	no
Cell_408	3	no
Cell_409	3	yes
Cell_410	3	yes
Cell_411	3	no
Cell_412	2	yes
Cell_413	3	no
Cell_414	2	no
Cell_415	3	no
Cell_416	3	yes
Cell_417	3	yes
Cell_418	3	no
Cell_419	2	yes
Cell_420	3	no
Cell_421	1	yes
Cell_422	3	no
Cell_423	3	no
Cell_424	3	no
Cell_425	2	no
Cell_426	2	no
Cell_427	3	no
Cell_428	3	no
Cell_429	3	yes
Cell_430	3	no
Cell_431	3	no
Cell_432	1	no
Cell_433	3	no
Cell_434	3	no
Cell_435	3	no
Cell_436	2	yes
Cell_437	2	no
Cell_438	3	no
Cell_439	3	no
Cell_440	2	no
Cell_441	3	yes
Cell_442	3	no
Cell_443	3	no
Cell_444	2	yes
Cell_445	2	no
Cell_446	3	yes
Cell_447	3	yes
Cell_448	3	no
Cell_449	2	no
Cell_450	3	no
Cell_451	2	yes
