cell	node	doublet
Cell_0	4	no
Cell_1	4	no
Cell_2	3	no
Cell_3	5	no
Cell_4	5	no
Cell_5	4	no
Cell_6	1	yes
Cell_7	3	no
Cell_8	4	no
Cell_9	5	no
Cell_10	3	no
Cell_11	6	no
Cell_12	4	no
Cell_13	5	no
Cell_14	3	no
Cell_15	4	no
Cell_16	6	no
Cell_17	3	no
Cell_18	6	no
Cell_19	4	no
Cell_20	6	no
Cell_21	4	no
Cell_22	1	no
Cell_23	0	no
Cell_24	3	no
Cell_25	3	no
Cell_26	1	no
Cell_27	3	no
Cell_28	4	no
Cell_29	5	no
Cell_30	4	no
Cell_31	3	no
Cell_32	4	no
Cell_33	4	no
Cell_34	1	no
Cell_35	3	no
Cell_36	6	no
Cell_37	3	no
Cell_38	4	no
Cell_39	6	no
Cell_40	3	no
Cell_41	3	no
Cell_42	6	no
Cell_43	5	no
Cell_44	1	no
Cell_45	6	no
Cell_46	3	no
Cell_47	3	no
Cell_48	3	no
Cell_49	3	no
Cell_50	3	no
Cell_51	4	no
Cell_52	1	no
Cell_53	6	no
Cell_54	3	no
Cell_55	3	no
Cell_56	6	no
Cell_57	3	no
Cell_58	0	no
Cell_59	6	no
Cell_60	0	no
Cell_61	4	no
Cell_62	3	no
Cell_63	5	no
Cell_64	5	no
Cell_65	4	no
Cell_66	6	no
Cell_67	3	no
Cell_68	3	no
Cell_69	5	no
Cell_70	3	no
Cell_71	3	no
Cell_72	5	no
Cell_73	6	no
Cell_74	6	no
Cell_75	4	no
Cell_76	6	no
Cell_77	4	no
Cell_78	3	no
Cell_79	5	no
Cell_80	3	no
Cell_81	6	no
Cell_82	4	no
Cell_83	4	yes
Cell_84	6	no
Cell_85	5	no
Cell_86	3	no
Cell_87	6	no
Cell_88	3	no
Cell_89	3	no
Cell_90	3	no
Cell_91	6	no
Cell_92	4	no
Cell_93	5	no
Cell_94	3	no
Cell_95	3	no
Cell_96	6	no
Cell_97	4	no
Cell_98	5	no
Cell_99	3	no
Cell_100	4	no
Cell_101	2	no
Cell_102	6	no
Cell_103	3	no
Cell_104	3	no
Cell_105	1	no
Cell_106	3	no
Cell_107	0	no
Cell_108	3	no
Cell_109	4	no
Cell_110	1	no
Cell_111	6	no
Cell_112	5	no
Cell_113	5	no
Cell_114	5	no
Cell_115	5	no
Cell_116	4	no
Cell_117	3	no
Cell_118	3	no
Cell_119	1	no
Cell_120	4	no
Cell_121	6	no
Cell_122	3	no
Cell_123	6	no
Cell_124	3	no
Cell_125	3	no
Cell_126	3	no
Cell_127	5	no
Cell_128	5	no
Cell_129	3	no
Cell_130	3	no
Cell_131	3	no
Cell_132	6	no
Cell_133	5	no
Cell_134	6	no
Cell_135	6	no
Cell_136	6	no
Cell_137	3	no
Cell_138	3	no
Cell_139	0	no
Cell_140	3	no
Cell_141	4	no
Cell_142	6	no
Cell_143	3	no
Cell_144	3	no
Cell_145	6	no
Cell_146	3	no
Cell_147	6	no
Cell_148	4	no
Cell_149	3	no
Cell_150	3	no
Cell_151	3	no
Cell_152	6	no
Cell_153	3	no
Cell_154	3	no
Cell_155	5	no
Cell_156	3	no
Cell_157	4	no
Cell_158	0	no
Cell_159	5	no
Cell_160	5	no
Cell_161	1	no
Cell_162	6	no
Cell_163	0	no
Cell_164	0	no
Cell_165	5	no
Cell_166	3	no
Cell_167	3	no
Cell_168	3	no
Cell_169	3	no
Cell_170	0	no
Cell_171	3	no
Cell_172	4	no
Cell_173	3	no
Cell_174	5	no
Cell_175	6	no
Cell_176	5	no
Cell_177	3	no
Cell_178	3	no
Cell_179	5	no
Cell_180	1	no
Cell_181	5	no
Cell_182	6	no
Cell_183	3	no
Cell_184	0	no
Cell_185	6	no
Cell_186	6	no
Cell_187	4	no
Cell_188	1	no
Cell_189	3	no
Cell_190	5	no
Cell_191	5	no
Cell_192	0	no
Cell_193	0	no
Cell_194	3	no
Cell_195	4	no
Cell_196	5	no
Cell_197	6	no
Cell_198	1	no
Cell_199	3	no
Cell_200	5	no
Cell_201	6	no
Cell_202	3	no
Cell_203	3	no
Cell_204	4	no
Cell_205	4	no
Cell_206	6	no
Cell_207	3	no
Cell_208	6	no
Cell_209	3	no
Cell_210	3	no
Cell_211	3	no
Cell_212	5	no
