cell	node	doublet
Cell_0	2	no
Cell_1	2	no
Cell_2	6	no
Cell_3	4	no
Cell_4	4	no
Cell_5	2	no
Cell_6	5	yes
Cell_7	6	no
Cell_8	2	no
Cell_9	4	no
Cell_10	6	no
Cell_11	6	no
Cell_12	2	no
Cell_13	4	no
Cell_14	6	no
Cell_15	2	no
Cell_16	1	no
Cell_17	6	no
Cell_18	1	no
Cell_19	2	no
Cell_20	1	no
Cell_21	2	no
Cell_22	5	no
Cell_23	0	no
Cell_24	6	no
Cell_25	6	no
Cell_26	5	no
Cell_27	6	no
Cell_28	2	no
Cell_29	4	no
Cell_30	2	no
Cell_31	6	no
Cell_32	2	no
Cell_33	2	no
Cell_34	5	no
Cell_35	6	no
Cell_36	1	no
Cell_37	6	no
Cell_38	2	no
Cell_39	1	no
Cell_40	6	no
Cell_41	6	no
Cell_42	1	no
Cell_43	4	no
Cell_44	5	no
Cell_45	1	no
Cell_46	6	no
Cell_47	6	no
Cell_48	6	no
Cell_49	6	no
Cell_50	6	no
Cell_51	2	no
Cell_52	5	no
Cell_53	1	no
Cell_54	6	no
Cell_55	6	no
Cell_56	1	no
Cell_57	6	no
Cell_58	0	no
Cell_59	1	no
Cell_60	0	no
Cell_61	2	no
Cell_62	6	no
Cell_63	4	no
Cell_64	4	no
Cell_65	2	no
Cell_66	1	no
Cell_67	6	no
Cell_68	6	no
Cell_69	4	no
Cell_70	6	no
Cell_71	6	no
Cell_72	4	no
Cell_73	1	no
Cell_74	1	no
Cell_75	2	no
Cell_76	1	no
Cell_77	2	no
Cell_78	6	no
Cell_79	4	no
Cell_80	6	no
Cell_81	1	no
Cell_82	2	no
Cell_83	2	yes
Cell_84	1	no
Cell_85	4	no
Cell_86	6	no
Cell_87	1	no
Cell_88	6	no
Cell_89	6	no
Cell_90	6	no
Cell_91	1	no
Cell_92	2	no
Cell_93	4	no
Cell_94	6	no
Cell_95	6	no
Cell_96	1	no
Cell_97	2	no
Cell_98	4	no
Cell_99	6	no
Cell_100	2	no
Cell_101	3	no
Cell_102	1	no
Cell_103	6	no
Cell_104	6	no
Cell_105	5	no
Cell_106	6	no
Cell_107	0	no
Cell_108	6	no
Cell_109	2	no
Cell_110	5	no
Cell_111	1	no
Cell_112	4	no
Cell_113	4	no
Cell_114	4	no
Cell_115	4	no
Cell_116	2	no
Cell_117	6	no
Cell_118	6	no
Cell_119	5	no
Cell_120	2	no
Cell_121	1	no
Cell_122	6	no
Cell_123	6	no
Cell_124	6	no
Cell_125	6	no
Cell_126	6	no
Cell_127	4	no
Cell_128	4	no
Cell_129	6	no
Cell_130	6	no
Cell_131	6	no
Cell_132	1	no
Cell_133	4	no
Cell_134	1	no
Cell_135	1	no
Cell_136	1	no
Cell_137	6	no
Cell_138	6	no
Cell_139	0	no
Cell_140	6	no
Cell_141	2	no
Cell_142	1	no
Cell_143	6	no
Cell_144	6	no
Cell_145	1	no
Cell_146	6	no
Cell_147	1	no
Cell_148	2	no
Cell_149	6	no
Cell_150	6	no
Cell_151	6	no
Cell_152	1	no
Cell_153	6	no
Cell_154	6	no
Cell_155	4	no
Cell_156	6	no
Cell_157	2	no
Cell_158	0	no
Cell_159	4	no
Cell_160	4	no
Cell_161	5	no
Cell_162	1	no
Cell_163	0	no
Cell_164	0	no
Cell_165	4	no
Cell_166	6	no
Cell_167	6	no
Cell_168	6	no
Cell_169	6	no
Cell_170	0	no
Cell_171	6	no
Cell_172	2	no
Cell_173	6	no
Cell_174	4	no
Cell_175	1	no
Cell_176	4	no
Cell_177	6	no
Cell_178	6	no
Cell_179	4	no
Cell_180	5	no
Cell_181	4	no
Cell_182	1	no
Cell_183	6	no
Cell_184	0	no
Cell_185	1	no
Cell_186	1	no
Cell_187	2	no
Cell_188	5	no
Cell_189	6	no
Cell_190	4	no
Cell_191	4	no
Cell_192	0	no
Cell_193	0	no
Cell_194	6	no
Cell_195	2	no
Cell_196	4	no
Cell_197	1	no
Cell_198	5	no
Cell_199	6	no
Cell_200	4	no
Cell_201	1	no
Cell_202	6	no
Cell_203	6	no
Cell_204	2	no
Cell_205	2	no
Cell_206	1	no
Cell_207	6	no
Cell_208	1	no
Cell_209	6	no
Cell_210	6	no
Cell_211	6	no
Cell_212	4	no
Cell_213	6	no
Cell_214	4	no
Cell_215	4	no
Cell_216	6	no
Cell_217	2	no
Cell_218	6	no
Cell_219	6	no
Cell_220	6	no
Cell_221	6	no
