cell	node	doublet
Cell_0	4	no
Cell_1	6	no
Cell_2	7	no
Cell_3	3	no
Cell_4	4	no
Cell_5	7	no
Cell_6	0	no
Cell_7	3	no
Cell_8	7	no
Cell_9	7	no
Cell_10	9	no
Cell_11	6	no
Cell_12	0	no
Cell_13	7	no
Cell_14	8	no
Cell_15	3	no
Cell_16	7	no
Cell_17	7	no
Cell_18	9	no
Cell_19	6	no
Cell_20	6	no
Cell_21	7	no
Cell_22	7	no
Cell_23	7	no
Cell_24	7	no
Cell_25	0	no
Cell_26	5	no
Cell_27	0	no
Cell_28	3	no
Cell_29	0	no
Cell_30	3	no
Cell_31	3	no
Cell_32	6	no
Cell_33	3	no
Cell_34	3	no
Cell_35	9	no
Cell_36	7	no
Cell_37	7	no
Cell_38	0	no
Cell_39	9	no
Cell_40	7	no
Cell_41	7	no
Cell_42	7	no
Cell_43	0	no
Cell_44	6	no
Cell_45	9	yes
Cell_46	7	no
Cell_47	1	no
Cell_48	7	no
Cell_49	6	no
Cell_50	7	no
Cell_51	7	no
Cell_52	7	no
Cell_53	7	no
Cell_54	7	no
Cell_55	0	no
Cell_56	8	yes
Cell_57	7	no
Cell_58	3	no
Cell_59	9	no
Cell_60	3	no
Cell_61	8	no
Cell_62	6	no
Cell_63	6	no
Cell_64	3	no
Cell_65	8	no
Cell_66	7	no
Cell_67	9	no
Cell_68	0	no
Cell_69	7	no
Cell_70	7	no
Cell_71	0	no
Cell_72	6	no
Cell_73	3	no
Cell_74	7	no
Cell_75	6	no
Cell_76	0	no
Cell_77	7	no
Cell_78	8	no
Cell_79	7	no
Cell_80	3	no
Cell_81	7	no
Cell_82	7	no
Cell_83	7	no
Cell_84	4	no
Cell_85	1	no
Cell_86	0	no
Cell_87	0	no
Cell_88	7	no
Cell_89	7	no
Cell_90	2	no
Cell_91	9	no
Cell_92	6	no
Cell_93	3	no
Cell_94	0	no
Cell_95	3	no
Cell_96	9	no
Cell_97	3	no
Cell_98	3	no
Cell_99	7	no
Cell_100	7	no
Cell_101	8	no
Cell_102	7	no
Cell_103	3	no
Cell_104	0	no
Cell_105	4	no
Cell_106	3	no
Cell_107	4	no
Cell_108	0	no
Cell_109	8	no
Cell_110	3	no
Cell_111	3	no
Cell_112	7	no
Cell_113	3	no
