cell	node	doublet
Cell_0	3	no
Cell_1	7	no
Cell_2	8	no
Cell_3	8	no
Cell_4	3	no
Cell_5	8	no
Cell_6	6	no
Cell_7	10	no
Cell_8	8	no
Cell_9	8	no
Cell_10	9	no
Cell_11	7	no
Cell_12	6	no
Cell_13	8	no
Cell_14	9	no
Cell_15	10	no
Cell_16	8	no
Cell_17	8	no
Cell_18	2	no
Cell_19	4	no
Cell_20	7	no
Cell_21	8	no
Cell_22	8	no
Cell_23	8	no
Cell_24	8	no
Cell_25	6	no
Cell_26	1	no
Cell_27	6	no
Cell_28	10	no
Cell_29	6	no
Cell_30	10	no
Cell_31	10	no
Cell_32	7	no
Cell_33	10	no
Cell_34	10	no
Cell_35	9	no
Cell_36	8	no
Cell_37	8	no
Cell_38	6	no
Cell_39	2	no
Cell_40	8	no
Cell_41	8	no
Cell_42	8	no
Cell_43	6	no
Cell_44	7	no
Cell_45	5	yes
Cell_46	9	no
Cell_47	2	no
Cell_48	8	no
Cell_49	7	no
Cell_50	8	no
Cell_51	8	no
Cell_52	8	no
Cell_53	8	no
Cell_54	8	no
Cell_55	6	no
Cell_56	9	yes
Cell_57	8	no
Cell_58	10	no
Cell_59	9	no
Cell_60	10	no
Cell_61	9	no
Cell_62	7	no
Cell_63	4	no
Cell_64	10	no
Cell_65	5	no
Cell_66	8	no
Cell_67	7	no
Cell_68	6	no
Cell_69	8	no
Cell_70	8	no
Cell_71	6	no
Cell_72	7	no
Cell_73	10	no
Cell_74	8	no
Cell_75	4	no
Cell_76	6	no
Cell_77	8	no
Cell_78	9	no
Cell_79	8	no
Cell_80	8	no
Cell_81	8	no
Cell_82	8	no
Cell_83	9	no
Cell_84	3	no
Cell_85	2	no
Cell_86	6	no
Cell_87	6	no
Cell_88	8	no
Cell_89	8	no
Cell_90	1	no
Cell_91	1	no
Cell_92	7	no
Cell_93	10	no
Cell_94	6	no
Cell_95	10	no
Cell_96	9	no
Cell_97	10	no
Cell_98	10	no
Cell_99	8	no
Cell_100	8	no
Cell_101	10	no
Cell_102	8	no
Cell_103	10	no
Cell_104	6	no
Cell_105	3	no
Cell_106	10	no
Cell_107	3	no
Cell_108	6	no
Cell_109	9	no
Cell_110	10	no
Cell_111	10	no
Cell_112	8	no
Cell_113	10	no
Cell_114	10	no
Cell_115	10	no
Cell_116	10	no
Cell_117	10	no
Cell_118	6	no
Cell_119	10	no
Cell_120	10	no
Cell_121	8	no
Cell_122	8	no
Cell_123	8	no
Cell_124	8	no
Cell_125	8	no
Cell_126	8	no
Cell_127	1	no
Cell_128	10	no
Cell_129	8	no
Cell_130	6	no
Cell_131	10	no
Cell_132	6	no
Cell_133	8	no
Cell_134	1	no
Cell_135	8	no
Cell_136	2	no
Cell_137	7	no
Cell_138	5	yes
Cell_139	8	no
Cell_140	9	no
Cell_141	6	no
Cell_142	7	no
Cell_143	10	no
Cell_144	10	no
Cell_145	8	no
Cell_146	10	no
Cell_147	8	no
Cell_148	8	no
Cell_149	8	no
Cell_150	8	no
Cell_151	8	no
Cell_152	10	no
Cell_153	8	no
Cell_154	6	no
Cell_155	9	no
Cell_156	9	no
Cell_157	8	no
Cell_158	6	no
Cell_159	10	no
Cell_160	5	no
Cell_161	8	no
Cell_162	10	no
Cell_163	7	no
Cell_164	9	no
Cell_165	10	no
Cell_166	10	no
Cell_167	3	no
Cell_168	8	no
Cell_169	8	no
Cell_170	7	no
Cell_171	10	no
Cell_172	8	no
Cell_173	6	no
Cell_174	10	no
Cell_175	7	no
Cell_176	8	no
Cell_177	8	no
Cell_178	8	no
Cell_179	7	no
Cell_180	8	no
Cell_181	10	no
