cell	node	doublet
Cell_0	1	no
Cell_1	7	no
Cell_2	6	no
Cell_3	6	no
Cell_4	1	no
Cell_5	6	no
Cell_6	0	no
Cell_7	5	no
Cell_8	6	no
Cell_9	6	no
Cell_10	2	no
Cell_11	7	no
Cell_12	0	no
Cell_13	6	no
Cell_14	5	no
Cell_15	5	no
Cell_16	6	no
Cell_17	6	no
Cell_18	2	no
Cell_19	7	no
Cell_20	7	no
Cell_21	6	no
Cell_22	6	no
Cell_23	6	no
Cell_24	6	no
Cell_25	0	no
Cell_26	4	no
Cell_27	0	no
Cell_28	5	no
Cell_29	0	no
Cell_30	5	no
Cell_31	5	no
Cell_32	7	no
Cell_33	5	no
Cell_34	5	no
Cell_35	2	no
Cell_36	6	no
Cell_37	6	no
Cell_38	0	no
Cell_39	5	no
Cell_40	6	no
Cell_41	6	no
Cell_42	6	no
Cell_43	0	no
Cell_44	7	no
Cell_45	5	no
Cell_46	6	no
Cell_47	2	no
Cell_48	6	no
Cell_49	7	no
Cell_50	6	no
Cell_51	6	no
Cell_52	6	no
Cell_53	6	no
Cell_54	6	no
Cell_55	0	no
Cell_56	5	no
Cell_57	6	no
Cell_58	5	no
Cell_59	2	no
Cell_60	5	no
Cell_61	5	no
Cell_62	7	no
Cell_63	7	no
Cell_64	5	no
Cell_65	5	no
Cell_66	6	no
Cell_67	2	no
Cell_68	0	no
Cell_69	6	no
Cell_70	6	no
Cell_71	0	no
Cell_72	7	no
Cell_73	5	no
Cell_74	6	no
Cell_75	7	no
Cell_76	0	no
Cell_77	6	no
Cell_78	5	no
Cell_79	6	no
Cell_80	6	no
Cell_81	6	no
Cell_82	6	no
Cell_83	6	no
Cell_84	1	no
Cell_85	5	no
Cell_86	0	no
Cell_87	0	no
Cell_88	6	no
Cell_89	6	no
Cell_90	6	yes
Cell_91	2	no
Cell_92	7	no
Cell_93	5	no
Cell_94	0	no
Cell_95	5	no
Cell_96	2	no
Cell_97	5	no
Cell_98	5	no
Cell_99	6	no
Cell_100	6	no
