cell	node	doublet
Cell_0	3	yes
Cell_1	2	no
Cell_2	4	no
Cell_3	5	no
Cell_4	5	yes
Cell_5	4	no
Cell_6	0	no
Cell_7	5	no
Cell_8	4	no
Cell_9	4	no
Cell_10	5	no
Cell_11	2	no
Cell_12	0	no
Cell_13	4	no
Cell_14	5	no
Cell_15	5	no
Cell_16	5	no
Cell_17	4	no
Cell_18	5	no
Cell_19	2	no
Cell_20	2	no
Cell_21	4	no
Cell_22	4	no
Cell_23	4	no
Cell_24	4	no
Cell_25	0	no
Cell_26	2	yes
Cell_27	0	no
Cell_28	5	no
Cell_29	0	no
Cell_30	5	no
Cell_31	5	no
Cell_32	2	no
Cell_33	5	no
Cell_34	5	no
Cell_35	5	no
Cell_36	4	no
Cell_37	4	no
Cell_38	0	no
Cell_39	5	no
Cell_40	4	no
Cell_41	4	no
Cell_42	4	no
Cell_43	0	no
Cell_44	2	no
Cell_45	5	no
Cell_46	4	no
Cell_47	1	no
Cell_48	4	no
Cell_49	2	no
Cell_50	4	no
Cell_51	5	no
Cell_52	4	no
Cell_53	4	no
Cell_54	4	no
Cell_55	0	no
Cell_56	5	no
Cell_57	4	no
Cell_58	5	no
Cell_59	1	no
Cell_60	5	no
Cell_61	5	no
Cell_62	2	no
Cell_63	2	no
Cell_64	5	no
Cell_65	5	no
Cell_66	4	no
Cell_67	5	no
Cell_68	0	no
Cell_69	4	no
Cell_70	4	no
Cell_71	0	no
Cell_72	2	no
Cell_73	5	no
Cell_74	4	no
Cell_75	2	no
Cell_76	0	no
Cell_77	4	no
Cell_78	5	no
Cell_79	4	no
Cell_80	5	no
Cell_81	4	no
Cell_82	4	no
Cell_83	5	no
Cell_84	3	no
Cell_85	5	no
Cell_86	0	no
Cell_87	0	no
Cell_88	4	no
Cell_89	4	no
Cell_90	0	no
Cell_91	5	no
Cell_92	2	no
Cell_93	5	no
Cell_94	0	no
Cell_95	5	no
Cell_96	5	no
Cell_97	5	no
Cell_98	5	no
Cell_99	4	no
Cell_100	4	no
Cell_101	5	no
Cell_102	4	no
Cell_103	2	no
Cell_104	0	no
Cell_105	5	no
Cell_106	5	no
Cell_107	3	yes
Cell_108	0	no
Cell_109	5	no
Cell_110	5	no
Cell_111	5	no
Cell_112	4	no
Cell_113	5	no
Cell_114	5	no
Cell_115	5	no
Cell_116	5	no
Cell_117	5	no
Cell_118	0	no
Cell_119	5	no
Cell_120	5	no
Cell_121	4	no
Cell_122	4	no
Cell_123	4	no
Cell_124	4	no
Cell_125	4	no
Cell_126	4	no
Cell_127	0	no
Cell_128	5	no
Cell_129	4	no
Cell_130	0	no
Cell_131	5	no
Cell_132	0	no
Cell_133	5	no
Cell_134	0	no
Cell_135	4	no
Cell_136	1	no
Cell_137	2	no
Cell_138	5	no
Cell_139	5	yes
Cell_140	5	no
Cell_141	0	no
Cell_142	2	no
Cell_143	5	no
Cell_144	5	no
Cell_145	4	no
Cell_146	5	no
Cell_147	4	no
Cell_148	4	no
Cell_149	4	no
Cell_150	4	no
Cell_151	4	no
Cell_152	5	no
Cell_153	4	no
Cell_154	0	no
Cell_155	2	no
Cell_156	5	no
Cell_157	4	no
Cell_158	0	no
Cell_159	5	no
Cell_160	5	no
Cell_161	4	no
Cell_162	5	no
Cell_163	2	no
Cell_164	4	no
Cell_165	5	no
Cell_166	5	no
Cell_167	5	no
Cell_168	4	no
Cell_169	4	no
Cell_170	2	no
Cell_171	5	no
Cell_172	4	no
Cell_173	0	no
Cell_174	5	no
Cell_175	2	no
Cell_176	4	no
Cell_177	4	no
Cell_178	5	no
Cell_179	2	no
Cell_180	4	no
Cell_181	5	no
Cell_182	4	no
Cell_183	0	no
Cell_184	2	no
Cell_185	4	no
Cell_186	5	no
Cell_187	1	no
Cell_188	5	no
Cell_189	5	no
Cell_190	4	no
Cell_191	4	no
Cell_192	5	yes
Cell_193	4	no
Cell_194	2	no
Cell_195	5	no
Cell_196	0	no
Cell_197	0	no
Cell_198	4	no
Cell_199	0	no
Cell_200	4	no
Cell_201	5	no
Cell_202	4	no
Cell_203	5	no
Cell_204	5	no
Cell_205	4	no
Cell_206	4	no
Cell_207	5	no
Cell_208	2	no
Cell_209	4	no
Cell_210	2	no
Cell_211	4	no
Cell_212	5	no
Cell_213	4	no
Cell_214	2	no
Cell_215	5	no
Cell_216	4	no
Cell_217	4	no
Cell_218	0	no
Cell_219	5	no
Cell_220	5	no
Cell_221	4	no
Cell_222	4	no
Cell_223	4	no
Cell_224	4	no
Cell_225	2	no
Cell_226	5	no
Cell_227	0	no
Cell_228	4	no
Cell_229	4	no
Cell_230	5	yes
Cell_231	5	no
Cell_232	4	no
Cell_233	4	no
Cell_234	4	no
Cell_235	4	no
Cell_236	4	no
Cell_237	4	no
Cell_238	4	no
Cell_239	5	no
Cell_240	4	no
Cell_241	2	no
Cell_242	4	no
Cell_243	4	no
Cell_244	5	no
Cell_245	4	no
Cell_246	5	no
Cell_247	2	no
Cell_248	1	no
Cell_249	5	no
Cell_250	4	no
Cell_251	5	no
Cell_252	5	no
Cell_253	0	no
Cell_254	5	no
Cell_255	5	no
Cell_256	5	no
Cell_257	5	no
Cell_258	4	no
Cell_259	0	no
Cell_260	5	no
Cell_261	0	no
Cell_262	4	no
Cell_263	4	no
Cell_264	5	no
Cell_265	4	no
Cell_266	5	yes
Cell_267	4	no
Cell_268	5	no
Cell_269	5	no
Cell_270	4	no
Cell_271	5	no
Cell_272	4	no
Cell_273	4	no
Cell_274	4	no
Cell_275	3	yes
Cell_276	5	no
Cell_277	5	no
Cell_278	4	no
Cell_279	4	no
Cell_280	5	no
Cell_281	4	no
Cell_282	4	no
Cell_283	0	no
Cell_284	4	no
Cell_285	5	no
Cell_286	2	no
Cell_287	5	no
Cell_288	5	no
Cell_289	4	no
Cell_290	5	no
Cell_291	5	no
Cell_292	5	no
Cell_293	4	no
Cell_294	5	no
Cell_295	4	no
Cell_296	5	no
Cell_297	2	no
Cell_298	5	no
Cell_299	4	no
Cell_300	4	no
Cell_301	5	no
Cell_302	0	no
Cell_303	4	no
Cell_304	5	no
Cell_305	4	no
Cell_306	5	no
Cell_307	5	yes
Cell_308	4	no
Cell_309	4	no
Cell_310	0	no
Cell_311	5	no
Cell_312	5	no
Cell_313	4	no
Cell_314	5	no
Cell_315	0	no
Cell_316	4	no
Cell_317	2	no
Cell_318	4	no
Cell_319	2	no
Cell_320	5	no
Cell_321	4	no
Cell_322	5	no
Cell_323	2	yes
Cell_324	5	no
Cell_325	4	no
Cell_326	0	no
Cell_327	4	no
Cell_328	4	no
Cell_329	4	no
Cell_330	5	no
Cell_331	0	no
Cell_332	4	no
Cell_333	5	no
Cell_334	5	no
Cell_335	5	no
Cell_336	5	no
Cell_337	5	no
Cell_338	5	no
Cell_339	5	no
Cell_340	2	no
Cell_341	1	no
Cell_342	4	no
Cell_343	5	no
Cell_344	5	no
Cell_345	5	no
Cell_346	2	no
Cell_347	5	no
Cell_348	2	no
Cell_349	5	no
Cell_350	4	no
Cell_351	3	yes
Cell_352	5	no
Cell_353	5	no
Cell_354	5	no
Cell_355	4	no
Cell_356	4	no
Cell_357	2	no
Cell_358	4	no
Cell_359	4	no
Cell_360	4	no
Cell_361	5	no
Cell_362	5	no
Cell_363	5	no
Cell_364	4	no
Cell_365	5	no
Cell_366	3	yes
Cell_367	5	no
Cell_368	4	no
Cell_369	4	no
Cell_370	4	no
Cell_371	5	no
Cell_372	5	no
Cell_373	4	no
Cell_374	4	no
Cell_375	4	no
Cell_376	4	no
Cell_377	4	no
Cell_378	5	no
Cell_379	0	no
Cell_380	2	no
Cell_381	3	no
Cell_382	5	no
Cell_383	5	no
Cell_384	2	no
Cell_385	0	no
Cell_386	0	no
Cell_387	5	no
Cell_388	5	no
Cell_389	5	no
Cell_390	5	no
Cell_391	4	no
Cell_392	1	no
Cell_393	5	no
Cell_394	5	no
Cell_395	5	no
Cell_396	2	no
Cell_397	5	no
Cell_398	4	no
Cell_399	4	no
Cell_400	5	no
Cell_401	5	no
Cell_402	4	no
Cell_403	5	no
Cell_404	5	no
Cell_405	2	no
Cell_406	5	no
Cell_407	5	no
Cell_408	4	no
Cell_409	2	no
Cell_410	5	no
Cell_411	1	no
