cell	node	doublet
Cell_0	2	no
Cell_1	6	no
Cell_2	4	no
Cell_3	4	no
Cell_4	2	no
Cell_5	4	no
Cell_6	1	no
Cell_7	3	no
Cell_8	4	no
Cell_9	4	no
Cell_10	5	no
Cell_11	6	no
Cell_12	1	no
Cell_13	4	no
Cell_14	5	no
Cell_15	3	no
Cell_16	4	no
Cell_17	4	no
Cell_18	7	no
Cell_19	6	no
Cell_20	6	no
Cell_21	4	no
Cell_22	4	no
Cell_23	4	no
Cell_24	4	no
Cell_25	1	no
Cell_26	6	yes
Cell_27	1	no
Cell_28	3	no
Cell_29	1	no
Cell_30	3	no
Cell_31	3	no
Cell_32	6	no
Cell_33	3	no
Cell_34	3	no
Cell_35	5	no
Cell_36	4	no
Cell_37	4	no
Cell_38	1	no
Cell_39	7	no
Cell_40	4	no
Cell_41	4	no
Cell_42	4	no
Cell_43	1	no
Cell_44	6	no
Cell_45	7	yes
Cell_46	5	no
Cell_47	7	no
Cell_48	4	no
Cell_49	6	no
Cell_50	4	no
Cell_51	4	no
Cell_52	4	no
Cell_53	4	no
Cell_54	4	no
Cell_55	1	no
Cell_56	5	yes
Cell_57	4	no
Cell_58	3	no
Cell_59	5	no
Cell_60	3	no
Cell_61	5	no
Cell_62	6	no
Cell_63	6	no
Cell_64	3	no
Cell_65	5	no
Cell_66	4	no
Cell_67	6	no
Cell_68	1	no
Cell_69	4	no
Cell_70	4	no
Cell_71	1	no
Cell_72	6	no
Cell_73	3	no
Cell_74	4	no
Cell_75	6	no
Cell_76	1	no
Cell_77	4	no
Cell_78	5	no
Cell_79	4	no
Cell_80	4	no
Cell_81	4	no
Cell_82	4	no
Cell_83	4	no
Cell_84	2	no
Cell_85	7	no
Cell_86	1	no
Cell_87	1	no
Cell_88	4	no
Cell_89	4	no
Cell_90	1	no
Cell_91	7	no
Cell_92	6	no
Cell_93	3	no
Cell_94	7	no
Cell_95	3	no
Cell_96	7	no
Cell_97	3	no
Cell_98	3	no
Cell_99	4	no
Cell_100	4	no
Cell_101	5	no
Cell_102	4	no
Cell_103	3	no
Cell_104	1	no
Cell_105	2	no
Cell_106	3	no
Cell_107	2	no
Cell_108	1	no
Cell_109	5	no
Cell_110	3	no
Cell_111	3	no
Cell_112	4	no
Cell_113	3	no
Cell_114	3	no
Cell_115	3	no
Cell_116	3	no
Cell_117	3	no
Cell_118	1	no
Cell_119	3	no
Cell_120	3	no
Cell_121	4	no
Cell_122	4	no
Cell_123	4	no
Cell_124	4	no
Cell_125	4	no
Cell_126	4	no
Cell_127	1	no
Cell_128	3	no
Cell_129	4	no
Cell_130	1	no
Cell_131	3	no
Cell_132	1	no
