cell	node	doublet
Cell_0	3	no
Cell_1	3	no
Cell_2	3	no
Cell_3	3	no
Cell_4	3	no
Cell_5	3	no
Cell_6	3	no
Cell_7	4	no
Cell_8	3	no
Cell_9	3	no
Cell_10	0	no
Cell_11	3	no
Cell_12	3	no
Cell_13	3	no
Cell_14	3	no
Cell_15	4	no
Cell_16	1	no
Cell_17	3	no
Cell_18	4	no
Cell_19	3	no
Cell_20	3	no
Cell_21	1	no
Cell_22	5	no
Cell_23	3	no
Cell_24	3	no
Cell_25	3	no
Cell_26	3	no
Cell_27	5	no
Cell_28	1	no
Cell_29	3	no
Cell_30	3	no
Cell_31	3	no
Cell_32	3	no
Cell_33	3	no
Cell_34	3	no
Cell_35	3	no
Cell_36	0	no
Cell_37	3	no
Cell_38	1	no
Cell_39	1	no
Cell_40	3	no
Cell_41	3	no
Cell_42	3	no
Cell_43	3	no
Cell_44	1	no
Cell_45	3	no
Cell_46	5	no
Cell_47	0	no
Cell_48	1	no
Cell_49	3	no
Cell_50	1	no
Cell_51	3	no
Cell_52	5	yes
Cell_53	3	no
Cell_54	3	no
Cell_55	3	no
Cell_56	0	no
Cell_57	0	no
Cell_58	3	no
Cell_59	3	no
Cell_60	3	no
Cell_61	1	no
Cell_62	3	no
Cell_63	2	no
Cell_64	3	no
Cell_65	3	no
Cell_66	3	no
Cell_67	5	no
Cell_68	3	no
Cell_69	3	no
Cell_70	3	no
Cell_71	3	no
Cell_72	3	no
Cell_73	4	no
Cell_74	3	no
Cell_75	3	no
Cell_76	3	no
Cell_77	3	no
Cell_78	3	no
Cell_79	3	no
Cell_80	4	no
Cell_81	0	no
Cell_82	1	no
Cell_83	1	no
Cell_84	1	no
Cell_85	3	no
Cell_86	3	no
Cell_87	3	no
Cell_88	4	no
Cell_89	3	no
Cell_90	2	no
Cell_91	3	no
Cell_92	3	no
Cell_93	0	no
Cell_94	3	no
Cell_95	3	no
Cell_96	3	no
Cell_97	4	no
Cell_98	3	no
Cell_99	3	no
Cell_100	1	no
Cell_101	3	no
Cell_102	4	no
Cell_103	0	no
Cell_104	3	no
Cell_105	1	no
Cell_106	3	no
Cell_107	3	no
Cell_108	5	no
Cell_109	1	no
Cell_110	3	no
Cell_111	4	no
Cell_112	3	no
Cell_113	3	no
Cell_114	3	no
Cell_115	3	no
Cell_116	3	no
Cell_117	3	no
Cell_118	3	no
Cell_119	3	no
Cell_120	3	no
Cell_121	3	no
Cell_122	3	no
Cell_123	0	no
Cell_124	1	no
Cell_125	3	no
Cell_126	3	no
Cell_127	3	no
Cell_128	3	no
Cell_129	3	no
Cell_130	4	no
Cell_131	5	no
Cell_132	4	no
Cell_133	1	no
Cell_134	3	no
Cell_135	3	no
Cell_136	3	no
Cell_137	2	no
Cell_138	3	no
Cell_139	0	no
Cell_140	3	no
Cell_141	3	no
Cell_142	3	no
Cell_143	0	no
Cell_144	3	no
Cell_145	1	no
Cell_146	3	no
Cell_147	5	no
Cell_148	3	no
Cell_149	3	no
Cell_150	3	no
Cell_151	3	no
Cell_152	3	no
Cell_153	3	no
Cell_154	3	no
Cell_155	4	no
Cell_156	1	no
Cell_157	1	no
Cell_158	1	no
Cell_159	3	no
Cell_160	0	no
Cell_161	1	no
Cell_162	1	no
Cell_163	0	no
Cell_164	3	no
Cell_165	4	no
Cell_166	3	no
Cell_167	3	no
Cell_168	3	no
Cell_169	3	no
Cell_170	1	no
Cell_171	1	no
Cell_172	1	no
Cell_173	3	no
Cell_174	3	no
Cell_175	3	no
Cell_176	3	no
Cell_177	3	no
Cell_178	3	no
Cell_179	3	no
Cell_180	3	no
Cell_181	1	no
Cell_182	3	no
Cell_183	3	no
Cell_184	3	no
Cell_185	3	no
Cell_186	3	no
Cell_187	3	no
Cell_188	0	no
Cell_189	3	no
Cell_190	5	no
Cell_191	4	no
Cell_192	3	no
Cell_193	3	no
Cell_194	2	no
Cell_195	3	no
Cell_196	3	no
Cell_197	3	no
Cell_198	3	no
Cell_199	0	no
Cell_200	4	no
Cell_201	3	no
Cell_202	3	no
Cell_203	3	no
Cell_204	5	no
Cell_205	5	no
Cell_206	2	no
Cell_207	3	no
Cell_208	3	no
Cell_209	1	no
Cell_210	3	no
Cell_211	3	no
Cell_212	3	no
Cell_213	3	no
Cell_214	3	no
Cell_215	1	no
Cell_216	3	no
Cell_217	3	no
Cell_218	5	no
Cell_219	4	no
Cell_220	3	no
Cell_221	1	no
Cell_222	3	no
Cell_223	3	no
Cell_224	0	no
Cell_225	0	no
Cell_226	5	no
Cell_227	3	no
Cell_228	1	no
Cell_229	3	no
Cell_230	3	no
Cell_231	3	no
Cell_232	3	no
Cell_233	3	no
Cell_234	3	no
Cell_235	3	no
Cell_236	3	no
Cell_237	3	no
Cell_238	4	no
Cell_239	3	no
Cell_240	3	no
Cell_241	3	no
Cell_242	2	no
Cell_243	0	no
Cell_244	3	no
Cell_245	3	no
Cell_246	3	no
Cell_247	3	no
Cell_248	0	no
Cell_249	3	no
Cell_250	3	no
Cell_251	0	no
Cell_252	4	no
Cell_253	3	no
Cell_254	1	no
Cell_255	3	no
Cell_256	1	no
Cell_257	3	no
Cell_258	3	no
Cell_259	3	no
Cell_260	3	no
Cell_261	3	no
Cell_262	3	no
Cell_263	3	no
Cell_264	3	no
Cell_265	3	no
Cell_266	5	no
Cell_267	3	no
Cell_268	1	no
Cell_269	3	no
Cell_270	3	no
Cell_271	4	no
Cell_272	3	no
Cell_273	3	no
Cell_274	3	no
Cell_275	1	no
Cell_276	5	no
Cell_277	1	no
Cell_278	3	no
Cell_279	3	no
Cell_280	3	no
Cell_281	5	yes
Cell_282	5	no
Cell_283	3	no
Cell_284	1	no
Cell_285	3	no
Cell_286	3	no
Cell_287	3	no
Cell_288	3	no
Cell_289	3	no
Cell_290	3	no
Cell_291	3	no
Cell_292	3	no
Cell_293	3	no
Cell_294	3	no
Cell_295	3	no
Cell_296	4	no
Cell_297	1	no
Cell_298	0	no
Cell_299	3	no
Cell_300	3	no
Cell_301	5	no
Cell_302	3	no
Cell_303	3	no
Cell_304	3	no
Cell_305	3	no
Cell_306	4	no
Cell_307	5	no
Cell_308	3	no
Cell_309	3	no
Cell_310	3	no
Cell_311	0	no
Cell_312	1	no
Cell_313	1	no
Cell_314	3	no
Cell_315	0	no
Cell_316	1	no
Cell_317	5	no
Cell_318	3	no
Cell_319	3	no
Cell_320	3	no
Cell_321	3	no
Cell_322	3	no
Cell_323	3	no
Cell_324	3	no
Cell_325	0	no
Cell_326	3	no
Cell_327	3	no
Cell_328	3	no
Cell_329	2	no
Cell_330	0	no
Cell_331	3	no
Cell_332	1	no
Cell_333	3	no
Cell_334	3	no
Cell_335	3	no
Cell_336	3	no
Cell_337	3	no
Cell_338	3	no
Cell_339	3	no
Cell_340	3	no
Cell_341	3	no
Cell_342	3	no
Cell_343	3	no
Cell_344	1	no
Cell_345	1	no
Cell_346	3	no
Cell_347	5	no
Cell_348	3	no
Cell_349	5	no
Cell_350	5	no
Cell_351	5	no
Cell_352	3	no
Cell_353	3	no
Cell_354	3	no
Cell_355	2	no
Cell_356	3	no
Cell_357	3	no
Cell_358	1	no
Cell_359	3	no
Cell_360	3	no
Cell_361	3	no
Cell_362	0	no
Cell_363	3	no
Cell_364	3	no
Cell_365	3	no
Cell_366	3	no
Cell_367	3	no
Cell_368	5	no
Cell_369	3	no
Cell_370	3	no
Cell_371	3	no
Cell_372	5	no
Cell_373	1	no
Cell_374	3	no
Cell_375	3	no
Cell_376	3	no
Cell_377	4	no
Cell_378	3	no
Cell_379	3	no
Cell_380	3	no
Cell_381	3	no
Cell_382	1	no
Cell_383	3	no
Cell_384	3	no
Cell_385	4	no
Cell_386	1	no
Cell_387	3	no
Cell_388	3	no
Cell_389	3	no
Cell_390	1	no
Cell_391	1	no
Cell_392	0	no
Cell_393	3	no
Cell_394	1	no
Cell_395	3	no
Cell_396	0	no
Cell_397	3	no
Cell_398	3	no
Cell_399	0	no
Cell_400	3	no
Cell_401	4	no
Cell_402	3	no
Cell_403	3	no
Cell_404	3	no
Cell_405	3	no
Cell_406	1	no
Cell_407	4	no
Cell_408	3	no
Cell_409	3	no
Cell_410	3	no
Cell_411	3	no
Cell_412	1	no
Cell_413	3	no
Cell_414	4	no
Cell_415	1	no
Cell_416	1	no
Cell_417	4	no
Cell_418	1	no
Cell_419	4	no
Cell_420	3	no
Cell_421	3	no
Cell_422	3	no
Cell_423	1	no
Cell_424	3	no
Cell_425	3	no
Cell_426	3	no
Cell_427	3	no
Cell_428	0	no
Cell_429	1	no
Cell_430	4	no
Cell_431	3	no
Cell_432	3	no
Cell_433	1	no
Cell_434	3	no
Cell_435	3	no
Cell_436	3	no
Cell_437	3	no
Cell_438	3	no
Cell_439	3	no
Cell_440	3	no
Cell_441	0	no
Cell_442	5	no
Cell_443	0	no
Cell_444	1	no
Cell_445	3	no
Cell_446	3	no
Cell_447	3	no
Cell_448	3	no
Cell_449	3	no
Cell_450	1	no
Cell_451	3	no
Cell_452	3	no
Cell_453	3	no
Cell_454	1	no
Cell_455	0	no
Cell_456	1	no
Cell_457	3	no
Cell_458	0	no
Cell_459	3	no
Cell_460	3	no
Cell_461	5	yes
Cell_462	3	no
Cell_463	1	no
Cell_464	3	no
Cell_465	3	no
