cell	node	doublet
Cell_0	2	yes
Cell_1	2	yes
Cell_2	2	no
Cell_3	2	yes
Cell_4	3	yes
Cell_5	2	no
Cell_6	2	yes
Cell_7	2	yes
Cell_8	2	yes
Cell_9	3	yes
Cell_10	2	no
Cell_11	2	yes
Cell_12	3	yes
Cell_13	2	yes
Cell_14	2	yes
Cell_15	2	yes
Cell_16	2	no
Cell_17	2	yes
Cell_18	2	yes
Cell_19	3	no
Cell_20	2	no
Cell_21	2	no
Cell_22	2	yes
Cell_23	2	no
Cell_24	3	yes
Cell_25	2	yes
Cell_26	2	yes
Cell_27	2	yes
Cell_28	3	yes
Cell_29	3	yes
Cell_30	2	yes
Cell_31	2	yes
Cell_32	2	yes
Cell_33	3	yes
Cell_34	3	yes
Cell_35	3	yes
Cell_36	2	no
Cell_37	2	yes
Cell_38	2	yes
Cell_39	2	no
Cell_40	2	yes
Cell_41	2	yes
Cell_42	3	yes
Cell_43	3	yes
Cell_44	2	no
Cell_45	3	yes
Cell_46	2	no
Cell_47	0	no
Cell_48	3	yes
Cell_49	3	yes
Cell_50	2	yes
Cell_51	2	yes
Cell_52	2	no
Cell_53	2	yes
Cell_54	3	yes
Cell_55	2	yes
Cell_56	2	no
Cell_57	2	no
Cell_58	2	no
Cell_59	2	yes
Cell_60	3	yes
Cell_61	3	yes
Cell_62	2	yes
Cell_63	2	no
Cell_64	2	yes
Cell_65	2	yes
Cell_66	2	yes
Cell_67	2	yes
Cell_68	2	yes
Cell_69	3	yes
Cell_70	3	yes
Cell_71	2	yes
Cell_72	2	yes
Cell_73	3	yes
Cell_74	2	no
Cell_75	2	yes
Cell_76	2	yes
Cell_77	2	yes
Cell_78	2	no
Cell_79	2	yes
Cell_80	2	yes
Cell_81	2	no
Cell_82	3	yes
Cell_83	2	no
Cell_84	2	yes
Cell_85	2	yes
Cell_86	3	yes
Cell_87	2	no
Cell_88	2	yes
Cell_89	2	yes
Cell_90	2	no
Cell_91	3	yes
Cell_92	2	no
Cell_93	2	no
Cell_94	2	yes
Cell_95	2	yes
Cell_96	2	no
Cell_97	2	yes
Cell_98	3	yes
Cell_99	3	yes
Cell_100	3	yes
Cell_101	3	yes
Cell_102	2	no
Cell_103	2	no
Cell_104	3	yes
Cell_105	3	yes
Cell_106	2	no
Cell_107	2	yes
Cell_108	3	yes
Cell_109	2	no
Cell_110	2	yes
Cell_111	2	yes
Cell_112	2	no
Cell_113	2	no
Cell_114	2	no
Cell_115	2	yes
Cell_116	3	yes
Cell_117	2	yes
Cell_118	2	yes
Cell_119	2	yes
Cell_120	2	yes
Cell_121	2	no
Cell_122	2	no
Cell_123	2	no
Cell_124	3	yes
Cell_125	2	yes
Cell_126	2	yes
Cell_127	2	yes
Cell_128	2	no
Cell_129	2	yes
Cell_130	3	yes
Cell_131	2	yes
Cell_132	2	no
Cell_133	2	yes
Cell_134	3	yes
Cell_135	2	no
Cell_136	2	yes
Cell_137	2	no
Cell_138	2	yes
Cell_139	0	no
Cell_140	2	yes
Cell_141	3	no
Cell_142	2	no
Cell_143	2	no
Cell_144	2	yes
Cell_145	2	yes
Cell_146	3	yes
Cell_147	2	yes
Cell_148	3	yes
Cell_149	2	yes
Cell_150	3	yes
Cell_151	2	yes
Cell_152	2	no
Cell_153	2	yes
Cell_154	3	yes
Cell_155	3	yes
Cell_156	2	yes
Cell_157	3	yes
Cell_158	2	yes
Cell_159	2	no
Cell_160	2	no
Cell_161	2	yes
Cell_162	2	yes
Cell_163	2	no
Cell_164	3	yes
Cell_165	2	yes
Cell_166	2	no
Cell_167	3	yes
Cell_168	2	no
Cell_169	3	yes
Cell_170	2	yes
Cell_171	2	no
Cell_172	2	yes
Cell_173	3	yes
Cell_174	3	yes
Cell_175	2	yes
Cell_176	2	no
Cell_177	2	yes
Cell_178	3	yes
Cell_179	3	yes
Cell_180	2	yes
Cell_181	3	yes
Cell_182	2	yes
Cell_183	2	yes
Cell_184	2	yes
Cell_185	2	yes
Cell_186	2	yes
Cell_187	2	no
Cell_188	2	no
Cell_189	2	yes
Cell_190	2	yes
Cell_191	2	yes
Cell_192	2	yes
Cell_193	2	yes
Cell_194	2	no
Cell_195	2	yes
Cell_196	3	yes
Cell_197	2	yes
Cell_198	2	yes
Cell_199	0	no
Cell_200	3	yes
Cell_201	3	yes
Cell_202	2	no
Cell_203	2	yes
Cell_204	2	yes
Cell_205	3	yes
Cell_206	2	no
Cell_207	2	yes
Cell_208	2	yes
Cell_209	2	yes
Cell_210	2	no
Cell_211	2	yes
Cell_212	2	yes
Cell_213	3	yes
Cell_214	2	yes
Cell_215	3	yes
Cell_216	2	yes
Cell_217	3	yes
Cell_218	3	yes
Cell_219	3	yes
Cell_220	3	yes
Cell_221	2	no
Cell_222	3	yes
Cell_223	2	no
Cell_224	2	no
Cell_225	2	no
Cell_226	2	yes
Cell_227	2	yes
Cell_228	2	yes
Cell_229	3	yes
Cell_230	2	no
Cell_231	2	no
Cell_232	2	no
Cell_233	2	yes
Cell_234	2	yes
Cell_235	2	yes
Cell_236	2	no
Cell_237	2	yes
Cell_238	2	yes
Cell_239	3	no
Cell_240	2	yes
Cell_241	2	yes
Cell_242	2	no
Cell_243	2	no
Cell_244	3	yes
Cell_245	2	yes
Cell_246	2	yes
Cell_247	2	no
Cell_248	2	no
Cell_249	3	yes
Cell_250	2	yes
Cell_251	2	no
Cell_252	2	yes
Cell_253	2	yes
Cell_254	2	yes
Cell_255	2	yes
Cell_256	3	yes
Cell_257	2	yes
Cell_258	2	yes
Cell_259	2	yes
Cell_260	2	yes
Cell_261	2	yes
Cell_262	2	no
Cell_263	3	yes
Cell_264	2	yes
Cell_265	2	yes
Cell_266	2	no
Cell_267	2	no
Cell_268	2	yes
Cell_269	2	no
Cell_270	2	yes
Cell_271	3	yes
Cell_272	2	no
Cell_273	3	yes
Cell_274	3	yes
Cell_275	2	no
Cell_276	2	yes
Cell_277	2	yes
Cell_278	2	yes
Cell_279	3	yes
Cell_280	2	yes
Cell_281	3	yes
Cell_282	2	yes
Cell_283	2	yes
Cell_284	2	yes
Cell_285	2	yes
Cell_286	3	yes
Cell_287	3	yes
Cell_288	3	yes
Cell_289	2	yes
Cell_290	2	yes
Cell_291	3	yes
Cell_292	2	yes
Cell_293	2	no
Cell_294	2	no
Cell_295	2	yes
Cell_296	2	yes
Cell_297	2	yes
Cell_298	2	no
Cell_299	2	no
Cell_300	2	no
Cell_301	2	yes
Cell_302	2	yes
Cell_303	2	no
Cell_304	3	yes
Cell_305	2	yes
Cell_306	2	yes
Cell_307	2	yes
Cell_308	2	no
Cell_309	2	no
Cell_310	2	yes
Cell_311	2	no
Cell_312	2	no
Cell_313	2	yes
Cell_314	2	yes
Cell_315	2	no
Cell_316	2	no
Cell_317	2	yes
Cell_318	2	yes
Cell_319	2	yes
Cell_320	3	yes
Cell_321	2	yes
Cell_322	2	yes
Cell_323	2	yes
Cell_324	2	yes
Cell_325	2	no
Cell_326	2	yes
Cell_327	3	yes
Cell_328	2	yes
Cell_329	2	no
Cell_330	2	no
Cell_331	3	yes
Cell_332	2	no
Cell_333	2	yes
Cell_334	3	yes
Cell_335	2	no
Cell_336	3	yes
Cell_337	2	no
Cell_338	3	yes
Cell_339	2	yes
Cell_340	2	no
Cell_341	2	yes
Cell_342	2	yes
Cell_343	3	yes
Cell_344	3	yes
Cell_345	2	yes
Cell_346	3	yes
Cell_347	2	yes
Cell_348	2	yes
Cell_349	2	yes
Cell_350	2	yes
Cell_351	2	yes
Cell_352	3	yes
Cell_353	2	yes
Cell_354	2	yes
Cell_355	2	no
Cell_356	2	yes
Cell_357	2	no
Cell_358	2	yes
Cell_359	2	yes
Cell_360	2	yes
Cell_361	2	yes
Cell_362	2	no
Cell_363	2	no
Cell_364	2	yes
Cell_365	2	yes
Cell_366	2	no
Cell_367	3	yes
Cell_368	2	yes
Cell_369	2	yes
Cell_370	2	yes
Cell_371	2	no
Cell_372	2	yes
Cell_373	2	yes
Cell_374	3	yes
Cell_375	3	yes
Cell_376	2	yes
Cell_377	2	yes
Cell_378	3	yes
Cell_379	2	yes
Cell_380	2	yes
Cell_381	3	yes
Cell_382	2	yes
Cell_383	2	no
Cell_384	3	yes
Cell_385	3	yes
Cell_386	2	yes
Cell_387	2	no
Cell_388	2	no
Cell_389	3	yes
Cell_390	2	yes
Cell_391	2	yes
Cell_392	2	no
Cell_393	2	yes
Cell_394	2	yes
Cell_395	2	yes
Cell_396	2	no
Cell_397	3	yes
Cell_398	2	yes
Cell_399	2	no
Cell_400	2	yes
Cell_401	2	no
Cell_402	2	no
Cell_403	2	yes
Cell_404	2	yes
Cell_405	2	no
Cell_406	2	no
Cell_407	3	yes
Cell_408	2	yes
Cell_409	3	yes
Cell_410	2	yes
Cell_411	3	yes
Cell_412	2	no
Cell_413	2	yes
Cell_414	2	yes
Cell_415	2	yes
