cell	node	doublet
Cell_0	5	no
Cell_1	5	no
Cell_2	5	no
Cell_3	5	no
Cell_4	5	no
Cell_5	5	no
Cell_6	5	no
Cell_7	3	no
Cell_8	5	no
Cell_9	5	no
Cell_10	0	no
Cell_11	5	no
Cell_12	5	no
Cell_13	5	no
Cell_14	5	no
Cell_15	3	no
Cell_16	1	no
Cell_17	5	no
Cell_18	3	no
Cell_19	5	no
Cell_20	5	no
Cell_21	1	no
Cell_22	4	no
Cell_23	5	no
Cell_24	5	no
Cell_25	5	no
Cell_26	5	no
Cell_27	4	no
Cell_28	1	no
Cell_29	5	no
Cell_30	5	no
Cell_31	5	no
Cell_32	5	no
Cell_33	5	no
Cell_34	5	no
Cell_35	5	no
Cell_36	0	no
Cell_37	5	no
Cell_38	1	no
Cell_39	1	no
Cell_40	5	no
Cell_41	5	no
Cell_42	5	no
Cell_43	5	no
Cell_44	1	no
Cell_45	5	no
Cell_46	4	no
Cell_47	0	no
Cell_48	1	no
Cell_49	5	no
Cell_50	1	no
Cell_51	5	no
Cell_52	4	yes
Cell_53	5	no
Cell_54	5	no
Cell_55	5	no
Cell_56	0	no
Cell_57	0	no
Cell_58	5	no
Cell_59	5	no
Cell_60	5	no
Cell_61	1	no
Cell_62	5	no
Cell_63	2	no
Cell_64	5	no
Cell_65	5	no
Cell_66	5	no
Cell_67	4	no
Cell_68	5	no
Cell_69	5	no
Cell_70	5	no
Cell_71	5	no
Cell_72	5	no
Cell_73	3	no
Cell_74	5	no
Cell_75	5	no
Cell_76	5	no
Cell_77	5	no
Cell_78	5	no
Cell_79	5	no
Cell_80	3	no
Cell_81	0	no
Cell_82	1	no
Cell_83	1	no
Cell_84	1	no
Cell_85	5	no
Cell_86	5	no
Cell_87	5	no
Cell_88	3	no
Cell_89	5	no
Cell_90	2	no
Cell_91	5	no
Cell_92	5	no
Cell_93	0	no
Cell_94	5	no
Cell_95	5	no
Cell_96	5	no
Cell_97	3	no
Cell_98	5	no
Cell_99	5	no
Cell_100	1	no
Cell_101	5	no
Cell_102	3	no
Cell_103	0	no
Cell_104	5	no
Cell_105	1	no
Cell_106	5	no
Cell_107	5	no
Cell_108	4	no
Cell_109	1	no
Cell_110	5	no
Cell_111	3	no
Cell_112	5	no
Cell_113	5	no
Cell_114	5	no
Cell_115	5	no
Cell_116	5	no
Cell_117	5	no
Cell_118	5	no
Cell_119	5	no
Cell_120	5	no
Cell_121	5	no
Cell_122	5	no
Cell_123	0	no
Cell_124	1	no
Cell_125	5	no
Cell_126	5	no
Cell_127	5	no
Cell_128	5	no
Cell_129	5	no
Cell_130	3	no
Cell_131	4	no
Cell_132	3	no
Cell_133	1	no
Cell_134	5	no
