cell	node	doublet
Cell_0	1	no
Cell_1	1	no
Cell_2	1	no
Cell_3	1	no
Cell_4	1	no
Cell_5	1	no
Cell_6	1	no
Cell_7	2	no
Cell_8	1	no
Cell_9	1	no
Cell_10	0	no
Cell_11	1	no
Cell_12	1	no
Cell_13	1	no
Cell_14	2	no
Cell_15	2	no
Cell_16	1	no
Cell_17	1	no
Cell_18	2	no
Cell_19	1	no
Cell_20	1	no
Cell_21	1	no
Cell_22	2	no
Cell_23	1	no
Cell_24	1	no
Cell_25	1	no
Cell_26	1	no
Cell_27	2	no
Cell_28	1	no
Cell_29	1	no
Cell_30	1	no
Cell_31	1	no
Cell_32	1	no
Cell_33	1	no
Cell_34	1	no
Cell_35	1	no
Cell_36	0	no
Cell_37	2	no
Cell_38	1	no
Cell_39	1	no
Cell_40	1	no
Cell_41	1	no
Cell_42	1	no
Cell_43	1	no
Cell_44	1	no
Cell_45	1	no
Cell_46	2	no
Cell_47	0	no
Cell_48	1	no
Cell_49	1	no
Cell_50	1	no
Cell_51	1	no
Cell_52	2	yes
Cell_53	1	no
Cell_54	1	no
Cell_55	1	no
Cell_56	0	no
Cell_57	0	no
Cell_58	1	no
Cell_59	1	no
Cell_60	1	no
Cell_61	1	no
Cell_62	1	no
Cell_63	2	no
Cell_64	1	no
Cell_65	1	no
Cell_66	1	no
Cell_67	2	no
Cell_68	1	no
Cell_69	1	no
Cell_70	1	no
Cell_71	1	no
Cell_72	1	no
Cell_73	2	no
Cell_74	1	no
Cell_75	1	no
Cell_76	1	no
Cell_77	1	no
Cell_78	1	no
Cell_79	1	no
Cell_80	2	no
Cell_81	0	no
Cell_82	1	no
Cell_83	1	no
Cell_84	1	no
Cell_85	1	no
Cell_86	1	no
Cell_87	1	no
Cell_88	2	no
Cell_89	1	no
Cell_90	2	no
Cell_91	1	no
Cell_92	1	no
Cell_93	0	no
Cell_94	1	no
Cell_95	1	no
Cell_96	1	no
Cell_97	2	no
Cell_98	1	no
Cell_99	1	no
Cell_100	1	no
Cell_101	1	no
Cell_102	2	no
Cell_103	0	no
Cell_104	1	no
Cell_105	1	no
Cell_106	1	no
Cell_107	1	no
Cell_108	2	no
Cell_109	1	no
Cell_110	1	no
Cell_111	2	no
Cell_112	1	no
Cell_113	1	no
Cell_114	1	no
Cell_115	1	no
Cell_116	1	no
Cell_117	1	no
Cell_118	1	no
Cell_119	1	no
Cell_120	1	no
Cell_121	1	no
Cell_122	1	no
Cell_123	0	no
Cell_124	1	no
Cell_125	1	no
Cell_126	1	no
Cell_127	1	no
Cell_128	1	no
Cell_129	1	no
Cell_130	2	no
Cell_131	2	no
Cell_132	2	no
Cell_133	1	no
Cell_134	1	no
Cell_135	2	no
Cell_136	1	no
Cell_137	2	no
Cell_138	1	no
Cell_139	0	no
Cell_140	1	no
Cell_141	1	no
Cell_142	1	no
Cell_143	0	no
Cell_144	1	no
Cell_145	1	no
Cell_146	1	no
Cell_147	2	no
Cell_148	1	no
Cell_149	1	no
Cell_150	2	no
Cell_151	1	no
Cell_152	2	no
Cell_153	1	no
Cell_154	1	no
Cell_155	2	no
Cell_156	1	no
Cell_157	1	no
Cell_158	1	no
Cell_159	1	no
Cell_160	0	no
Cell_161	1	no
Cell_162	1	no
Cell_163	0	no
Cell_164	1	no
Cell_165	2	no
Cell_166	1	no
Cell_167	1	no
Cell_168	1	no
Cell_169	1	no
Cell_170	1	no
Cell_171	1	no
Cell_172	1	no
Cell_173	1	no
Cell_174	1	no
Cell_175	1	no
Cell_176	1	no
Cell_177	1	no
Cell_178	1	no
Cell_179	1	no
Cell_180	1	no
Cell_181	1	no
Cell_182	1	no
Cell_183	1	no
Cell_184	1	no
Cell_185	1	no
Cell_186	1	no
Cell_187	1	no
Cell_188	0	no
Cell_189	1	no
Cell_190	2	yes
Cell_191	2	no
Cell_192	1	no
Cell_193	1	no
Cell_194	2	no
Cell_195	1	no
Cell_196	1	no
Cell_197	1	no
Cell_198	1	no
Cell_199	0	no
Cell_200	2	no
Cell_201	1	no
Cell_202	1	no
Cell_203	1	no
Cell_204	2	no
Cell_205	2	no
Cell_206	2	no
Cell_207	1	no
Cell_208	1	no
Cell_209	1	no
Cell_210	1	no
Cell_211	1	no
Cell_212	1	no
Cell_213	1	no
Cell_214	1	no
Cell_215	1	no
Cell_216	1	no
Cell_217	1	no
Cell_218	2	no
Cell_219	2	no
Cell_220	1	no
Cell_221	1	no
Cell_222	1	no
Cell_223	1	no
Cell_224	0	no
Cell_225	0	no
Cell_226	2	no
Cell_227	1	no
Cell_228	1	no
Cell_229	1	no
Cell_230	1	no
Cell_231	1	no
Cell_232	1	no
Cell_233	1	no
Cell_234	1	no
Cell_235	2	no
Cell_236	1	no
Cell_237	1	no
Cell_238	2	no
Cell_239	1	no
Cell_240	1	no
Cell_241	1	no
Cell_242	2	no
Cell_243	0	no
Cell_244	1	no
Cell_245	1	no
Cell_246	1	no
Cell_247	1	no
Cell_248	0	no
Cell_249	1	no
Cell_250	1	no
Cell_251	0	no
Cell_252	2	no
Cell_253	1	no
Cell_254	1	no
Cell_255	1	no
Cell_256	1	no
